Date,Open,High,Low,Close,Adj Close,Volume
2009-06-29,363.000000,368.649994,359.049988,364.149994,270.926544,208063
2009-06-30,369.000000,374.000000,361.000000,366.299988,272.526154,342465
2009-07-01,361.399994,409.299988,351.850006,351.850006,261.775360,239746
2009-07-02,402.000000,418.950012,381.000000,415.200012,317.943909,368962
2009-07-03,420.950012,436.000000,410.000000,414.350006,317.293030,209430
2009-07-06,420.500000,427.000000,393.000000,400.500000,306.687225,96260
2009-07-07,400.500000,400.500000,375.149994,380.049988,291.027405,281008
2009-07-08,380.000000,383.950012,366.700012,375.149994,287.275177,45971
2009-07-09,375.000000,375.000000,364.100006,367.899994,281.723419,116616
2009-07-10,370.000000,386.000000,363.049988,369.100006,282.642365,112754
2009-07-13,364.000000,373.000000,351.000000,363.100006,278.047791,90435
2009-07-14,371.000000,381.000000,370.000000,374.350006,286.662598,47209
2009-07-15,380.000000,390.000000,376.000000,384.100006,294.128784,73555
2009-07-16,395.000000,406.000000,390.049988,401.149994,307.184967,96031
2009-07-17,431.100006,474.950012,411.450012,428.200012,327.898804,167113
2009-07-20,439.399994,452.850006,434.049988,439.700012,336.705017,157132
2009-07-21,436.049988,448.000000,428.000000,435.200012,333.259125,185519
2009-07-22,438.799988,445.000000,420.000000,427.049988,327.018158,129542
2009-07-23,426.000000,439.250000,421.100006,426.299988,326.443817,63991
2009-07-24,428.000000,438.399994,428.000000,430.899994,329.966370,101439
2009-07-27,435.000000,447.950012,433.049988,435.899994,333.795135,88452
2009-07-28,439.899994,442.000000,434.000000,436.299988,334.101471,42806
2009-07-29,433.049988,442.000000,425.200012,434.850006,332.991119,57521
2009-07-30,426.250000,446.899994,426.250000,444.049988,340.036102,51296
2009-07-31,445.000000,476.799988,442.500000,468.700012,358.912109,128102
2009-08-03,470.000000,526.799988,466.000000,499.250000,382.306091,248995
2009-08-04,502.000000,507.000000,465.000000,500.700012,383.416504,55168
2009-08-05,500.000000,504.799988,480.000000,489.850006,375.107971,74017
2009-08-06,476.149994,490.000000,462.250000,471.299988,360.903076,33897
2009-08-07,456.600006,470.000000,445.000000,449.850006,344.477539,43944
2009-08-10,456.000000,463.850006,432.250000,453.500000,347.272552,72554
2009-08-11,457.000000,458.799988,438.100006,441.100006,337.777161,31905
2009-08-12,437.149994,458.799988,435.850006,449.049988,343.864899,40754
2009-08-13,459.000000,465.000000,453.049988,458.250000,350.909912,85779
2009-08-14,462.000000,462.000000,439.299988,441.399994,338.006866,43805
2009-08-17,441.000000,478.600006,432.000000,456.799988,349.799530,224039
2009-08-18,464.000000,464.500000,449.049988,450.299988,344.822083,64483
2009-08-19,457.850006,457.850006,446.000000,447.600006,342.754608,29341
2009-08-20,449.500000,454.000000,442.500000,446.350006,341.797394,36621
2009-08-21,448.000000,470.000000,445.049988,467.799988,358.222961,172120
2009-08-24,470.149994,478.950012,455.149994,466.549988,357.265717,51642
2009-08-25,466.549988,479.000000,457.200012,471.600006,361.132813,35102
2009-08-26,474.000000,479.700012,470.250000,476.700012,365.038208,16681
2009-08-27,479.899994,479.899994,463.950012,467.399994,357.916595,32548
2009-08-28,463.250000,476.500000,463.250000,470.950012,360.635101,15079
2009-08-31,470.950012,475.000000,465.000000,469.350006,359.409912,16792
2009-09-01,474.000000,475.000000,463.000000,464.899994,356.002228,22728
2009-09-02,466.000000,466.000000,453.000000,462.950012,354.509033,6371
2009-09-03,477.000000,477.500000,455.200012,469.399994,359.448151,17833
2009-09-04,470.250000,475.100006,466.500000,472.200012,361.592316,10922
2009-09-07,474.000000,491.500000,470.049988,487.450012,373.270203,44674
2009-09-08,495.000000,495.000000,483.049988,485.250000,371.585480,21521
2009-09-09,486.000000,488.950012,478.000000,481.399994,368.637299,10016
2009-09-10,480.000000,491.450012,480.000000,488.750000,374.265625,22681
2009-09-11,485.250000,491.450012,474.100006,478.500000,366.416565,29982
2009-09-14,474.000000,479.700012,467.049988,468.700012,358.912109,24366
2009-09-15,471.299988,488.799988,471.299988,478.899994,366.722900,29966
2009-09-16,485.000000,489.000000,470.100006,473.250000,362.396362,44956
2009-09-17,478.950012,484.850006,471.000000,473.350006,362.472931,33886
2009-09-18,482.899994,485.000000,472.000000,476.950012,365.229614,400455
2009-09-22,480.000000,513.849976,475.000000,487.399994,373.231873,403992
2009-09-23,495.000000,508.950012,481.000000,485.149994,371.508881,603690
2009-09-24,483.000000,509.950012,480.000000,502.450012,384.756561,167587
2009-09-25,500.000000,510.000000,492.000000,498.399994,381.655212,167823
2009-09-29,510.000000,518.000000,501.000000,504.600006,386.402924,52595
2009-09-30,510.000000,515.000000,505.000000,511.700012,391.839844,60075
2009-10-01,510.000000,568.849976,507.700012,539.650024,413.242889,229969
2009-10-05,531.349976,560.000000,523.200012,528.500000,404.704651,83838
2009-10-06,532.000000,542.000000,514.000000,518.799988,397.276733,64574
2009-10-07,518.000000,537.599976,515.000000,519.000000,397.429871,86188
2009-10-08,517.000000,529.200012,511.000000,515.049988,394.405121,48295
2009-10-09,518.099976,538.000000,511.049988,517.349976,396.166351,133572
2009-10-12,528.000000,535.000000,507.700012,517.750000,396.472717,102626
2009-10-13,514.500000,514.500000,514.500000,514.500000,393.984039,0
2009-10-14,522.000000,533.799988,513.049988,520.400024,398.501953,320598
2009-10-15,527.400024,542.000000,515.500000,520.250000,398.387085,206257
2009-10-16,535.000000,553.950012,528.150024,532.849976,408.035675,468235
2009-10-20,547.500000,551.799988,535.000000,538.299988,412.209045,64060
2009-10-21,535.000000,543.000000,530.299988,531.500000,407.001923,37791
2009-10-22,530.000000,535.000000,518.000000,522.049988,399.765411,37003
2009-10-23,528.000000,529.900024,518.500000,520.400024,398.501953,25907
2009-10-26,525.900024,525.900024,511.200012,513.400024,393.141663,39556
2009-10-27,510.000000,516.750000,486.350006,490.950012,375.950317,51315
2009-10-28,487.000000,508.000000,482.450012,501.000000,383.646210,32344
2009-10-29,497.000000,500.000000,486.000000,492.149994,376.869263,46362
2009-10-30,520.000000,590.000000,482.399994,486.899994,372.848938,53321
2009-11-03,486.899994,495.000000,463.000000,465.399994,356.385132,43800
2009-11-04,470.000000,487.399994,468.049988,481.100006,368.407593,37302
2009-11-05,481.100006,497.000000,478.000000,490.100006,375.299438,78009
2009-11-06,498.850006,504.950012,492.000000,494.299988,378.515564,21658
2009-11-09,489.000000,504.000000,489.000000,500.100006,382.957031,15986
2009-11-10,501.250000,518.000000,497.000000,508.450012,389.351135,80384
2009-11-11,507.000000,515.000000,500.000000,506.549988,387.896149,26057
2009-11-12,506.549988,509.850006,496.100006,500.649994,383.378204,14949
2009-11-13,504.399994,505.850006,497.000000,498.649994,381.846649,12272
2009-11-16,500.000000,504.799988,494.899994,495.850006,379.702576,34259
2009-11-17,507.000000,507.000000,496.000000,503.700012,385.713745,28598
2009-11-18,505.000000,505.000000,497.000000,498.500000,381.731873,20033
2009-11-19,498.250000,503.000000,495.500000,497.299988,380.812836,14817
2009-11-20,492.000000,509.950012,490.100006,504.049988,385.981689,28172
2009-11-23,504.000000,512.000000,499.000000,504.000000,385.943451,27130
2009-11-24,506.850006,528.000000,503.649994,524.849976,401.909546,236265
2009-11-25,526.000000,541.000000,525.000000,525.549988,402.445618,35057
2009-11-26,525.000000,532.950012,521.400024,525.200012,402.177612,21138
2009-11-27,511.000000,530.000000,505.250000,528.349976,404.589752,70407
2009-11-30,530.000000,531.799988,523.049988,528.299988,404.551453,101475
2009-12-01,528.000000,540.000000,524.500000,537.349976,411.481628,52922
2009-12-02,535.000000,539.849976,532.049988,534.000000,408.916321,39969
